,literal,stroke_count,grade,freq,jlpt
1125,漏,14,5.0,1360.0,1.0
1126,演,14,8.0,215.0,1.0
1127,漠,13,3.0,1274.0,2.0
1128,漢,13,8.0,234.0,1.0
1129,漫,14,8.0,1189.0,1.0
1130,漸,14,5.0,1326.0,1.0
1131,潔,15,8.0,874.0,1.0
1132,潜,15,8.0,298.0,1.0
1133,潤,15,6.0,1425.0,1.0
1134,潮,15,8.0,745.0,1.0
1135,潰,15,8.0,1785.0,2.0
1136,澄,15,6.0,365.0,2.0
1137,激,16,8.0,1346.0,2.0
1138,濁,16,8.0,1301.0,2.0
1139,濃,16,8.0,1851.0,1.0
1140,濫,18,8.0,1702.0,1.0
1141,濯,17,1.0,637.0,2.0
1142,火,4,4.0,1799.0,2.0
1143,灯,6,6.0,1772.0,3.0
1144,灰,6,5.0,1529.0,1.0
1145,災,7,8.0,1714.0,1.0
1146,炉,8,8.0,964.0,1.0
1147,炊,8,8.0,1409.0,2.0
1148,炎,8,3.0,383.0,1.0
1149,炭,9,2.0,737.0,1.0
1150,点,9,8.0,684.0,2.0
1151,為,9,8.0,2216.0,1.0
1152,烈,10,4.0,1330.0,4.0
1153,無,12,8.0,1711.0,3.0
1154,焦,12,4.0,1592.0,3.0
1155,然,12,4.0,85.0,3.0
1156,焼,12,8.0,302.0,2.0
1157,煎,13,8.0,86.0,1.0
1158,煙,13,4.0,1591.0,2.0
1159,照,13,8.0,2352.0,4.0
1160,煩,13,8.0,409.0,3.0
1161,煮,12,6.0,1850.0,3.0
1162,熟,15,4.0,1528.0,3.0
1163,熱,15,5.0,1248.0,1.0
1164,燃,16,8.0,1961.0,2.0
1165,燥,17,8.0,29.0,2.0
1166,爆,19,8.0,161.0,2.0
1167,爵,17,2.0,107.0,2.0
1168,父,4,8.0,90.0,2.0
1169,爽,11,6.0,325.0,2.0
1170,片,4,5.0,1073.0,1.0
1171,版,8,8.0,492.0,2.0
1172,牙,5,2.0,240.0,1.0
1173,牛,4,4.0,292.0,2.0
1174,牧,8,3.0,199.0,1.0
1175,物,8,8.0,158.0,3.0
1176,牲,9,4.0,2389.0,1.0
1177,特,10,8.0,2049.0,1.0
1178,犠,17,1.0,731.0,2.0
1179,犬,4,5.0,1824.0,1.0
1180,犯,5,5.0,774.0,1.0
1181,状,7,8.0,348.0,2.0
1182,狂,7,8.0,631.0,1.0
1183,狙,8,8.0,1665.0,1.0
1184,狩,9,5.0,1683.0,3.0
1185,独,9,8.0,1572.0,2.0
1186,狭,9,8.0,283.0,4.0
1187,猛,11,8.0,1661.0,4.0
1188,猟,11,8.0,1263.0,2.0
1189,猫,11,8.0,1577.0,2.0
1190,献,13,8.0,384.0,1.0
1191,猶,12,8.0,1111.0,2.0
1192,猿,13,8.0,1958.0,1.0
1193,獄,14,8.0,903.0,1.0
1194,獣,16,8.0,2037.0,2.0
1195,獲,16,8.0,1663.0,1.0
1196,玄,5,5.0,600.0,1.0
1197,率,11,1.0,1667.0,1.0
1198,玉,5,1.0,1973.0,1.0
1199,王,4,8.0,32.0,4.0
1200,玩,8,8.0,566.0,1.0
1201,珍,9,8.0,483.0,2.0
1202,珠,10,6.0,163.0,2.0
1203,班,10,5.0,105.0,1.0
1204,現,11,3.0,1267.0,2.0
1205,球,11,2.0,721.0,1.0
1206,理,11,8.0,1092.0,2.0
1207,琴,12,8.0,1654.0,3.0
1208,瑠,14,8.0,674.0,3.0
1209,璃,15,8.0,1051.0,2.0
1210,璧,18,8.0,712.0,1.0
1211,環,17,8.0,587.0,1.0
1212,璽,19,8.0,408.0,3.0
1213,瓦,5,8.0,881.0,1.0
1214,瓶,11,8.0,76.0,1.0
1215,甘,5,8.0,1767.0,1.0
1216,甚,9,1.0,246.0,1.0
1217,生,5,4.0,45.0,1.0
1218,産,11,2.0,1476.0,1.0
1219,用,5,1.0,548.0,1.0
1220,田,5,3.0,2177.0,1.0
1221,由,5,8.0,1060.0,3.0
1222,甲,5,3.0,140.0,3.0
1223,申,5,1.0,279.0,1.0
1224,男,7,1.0,1315.0,2.0
1225,町,7,2.0,1726.0,2.0
1226,画,8,3.0,1527.0,3.0
1227,界,9,8.0,376.0,1.0
1228,畏,9,8.0,1739.0,1.0
1229,畔,10,5.0,534.0,2.0
1230,留,10,8.0,1993.0,1.0
1231,畜,10,5.0,1265.0,1.0
1232,略,11,2.0,2069.0,2.0
1233,番,12,6.0,1538.0,1.0
1234,異,11,8.0,1294.0,1.0
1235,畳,12,8.0,205.0,2.0
1236,畿,15,8.0,689.0,1.0
1237,疎,12,6.0,2105.0,2.0
1238,疑,14,8.0,342.0,1.0
1239,疫,9,8.0,1146.0,1.0
1240,疲,10,8.0,336.0,2.0
1241,疾,10,3.0,1579.0,2.0
1242,病,10,8.0,1268.0,4.0
1243,症,10,8.0,590.0,2.0
1244,痕,11,8.0,2154.0,1.0
1245,痘,12,6.0,1867.0,2.0
1246,痛,12,8.0,1101.0,2.0
1247,痢,12,8.0,1609.0,2.0
1248,痩,12,8.0,1792.0,1.0
1249,痴,13,8.0,252.0,1.0
1250,瘍,14,8.0,1686.0,2.0
1251,療,17,8.0,1608.0,2.0
1252,癒,18,8.0,1977.0,1.0
1253,癖,18,3.0,1224.0,1.0
1254,発,9,3.0,237.0,2.0
1255,登,12,1.0,1185.0,1.0
